muy,very,1 - Essential
también,also/too,1 - Essential
no,no/not,1 - Essential
sí,yes,1 - Essential
ya,already/now,1 - Essential
todavía,still/yet,1 - Essential
aún,still/yet/even,1 - Essential
siempre,always,1 - Essential
nunca,never,1 - Essential
jamás,never (emphatic),1 - Essential
aquí,here,1 - Essential
allí,there,1 - Essential
ahí,there (nearby),1 - Essential
ahora,now,1 - Essential
antes,before/earlier,1 - Essential
después,after/later,1 - Essential
hoy,today,1 - Essential
ayer,yesterday,1 - Essential
mañana,tomorrow/morning,1 - Essential
pronto,soon,1 - Essential
tarde,late,1 - Essential
temprano,early,1 - Essential
bien,well/good,1 - Essential
mal,badly,1 - Essential
así,like this/so/thus,1 - Essential
más,more,2 - High Frequency
menos,less,2 - High Frequency
bastante,quite/enough,2 - High Frequency
demasiado,too much,2 - High Frequency
casi,almost,2 - High Frequency
solo,only/just,2 - High Frequency
tan,so/as,2 - High Frequency
tanto,so much/as much,2 - High Frequency
quizás,maybe/perhaps,2 - High Frequency
tal vez,maybe/perhaps,2 - High Frequency
claro,of course/clearly,2 - High Frequency
por supuesto,of course,2 - High Frequency
exactamente,exactly,2 - High Frequency
especialmente,especially,2 - High Frequency
generalmente,generally,2 - High Frequency
normalmente,normally,2 - High Frequency
actualmente,currently,2 - High Frequency
finalmente,finally,2 - High Frequency
realmente,really/truly,2 - High Frequency
totalmente,totally,2 - High Frequency
completamente,completely,3 - Useful
absolutamente,absolutely,3 - Useful
perfectamente,perfectly,3 - Useful
rápidamente,quickly,3 - Useful
lentamente,slowly,3 - Useful